block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,red,X,FALSE,FALSE,TRUE,0
b_0,blue,Y,FALSE,TRUE,TRUE,1
b_0,blue,X,FALSE,TRUE,TRUE,2
b_0,red,Y,TRUE,TRUE,TRUE,3
b_0,red,Y,TRUE,TRUE,TRUE,4
b_0,blue,Y,TRUE,TRUE,TRUE,5
b_0,blue,Y,TRUE,TRUE,TRUE,6
b_0,blue,X,TRUE,TRUE,TRUE,7
b_0,blue,X,TRUE,TRUE,TRUE,8
b_0,blue,Y,TRUE,TRUE,TRUE,9
b_1,red,Y,FALSE,FALSE,TRUE,0
b_1,red,Y,FALSE,TRUE,TRUE,1
b_1,blue,X,TRUE,TRUE,TRUE,2
b_1,blue,Y,TRUE,TRUE,TRUE,3
b_1,blue,Y,TRUE,TRUE,TRUE,4
b_1,blue,Y,TRUE,TRUE,TRUE,5
