Event,RecordingTimestamp,border color,figure,is_color_change,is_figure_change,session_num,trial_id
TRIALID,30875.3604888916,,,,,,
!E TRIAL_EVENT_VAR fixation,30880.36012649536,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,31890.370845794678,,,,,,
,,red,Y,0.0,0.0,1.0,1
TRIAL_END,32895.38216590881,,,,,,
TRIALID,32898.38194847107,,,,,,
!E TRIAL_EVENT_VAR fixation,32904.38508987427,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,33914.36195373535,,,,,,
,,red,Y,1.0,1.0,1.0,2
TRIAL_END,34920.40395736694,,,,,,
TRIALID,34923.40564727783,,,,,,
!E TRIAL_EVENT_VAR fixation,34929.40378189087,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,35939.38398361206,,,,,,
,,red,Y,1.0,1.0,1.0,3
TRIAL_END,36945.39475440979,,,,,,
TRIALID,36948.395013809204,,,,,,
!E TRIAL_EVENT_VAR fixation,36954.39529418945,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,37965.40570259094,,,,,,
,,blue,X,1.0,1.0,1.0,4
TRIAL_END,38971.447229385376,,,,,,
TRIALID,38974.44701194763,,,,,,
!E TRIAL_EVENT_VAR fixation,38980.44776916504,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,39989.42756652832,,,,,,
,,blue,X,1.0,1.0,1.0,5
TRIAL_END,40995.4719543457,,,,,,
TRIALID,40998.46887588501,,,,,,
!E TRIAL_EVENT_VAR fixation,41003.469944000244,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,42012.49122619629,,,,,,
,,red,Y,1.0,1.0,1.0,6
TRIAL_END,43020.4598903656,,,,,,
TRIALID,43023.459911346436,,,,,,
!E TRIAL_EVENT_VAR fixation,43029.460191726685,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,44038.47098350525,,,,,,
,,red,Y,1.0,1.0,1.0,7
TRIAL_END,45045.48192024231,,,,,,
