Event,RecordingTimestamp,border color,figure,is_color_change,is_figure_change,session_num,trial_id
TRIALID,30109.047651290894,,,,,,
!E TRIAL_EVENT_VAR fixation,30369.048357009888,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,31380.049467086792,,,,,,
,,red,Y,False,False,1.0,1
TRIAL_END,32386.048793792725,,,,,,
TRIALID,32388.054370880127,,,,,,
!E TRIAL_EVENT_VAR fixation,32393.02086830139,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,33402.05001831055,,,,,,
,,red,Y,True,True,1.0,2
TRIAL_END,34408.050298690796,,,,,,
TRIALID,34410.053730010986,,,,,,
!E TRIAL_EVENT_VAR fixation,34416.05043411255,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,35426.056146621704,,,,,,
,,red,X,True,True,1.0,3
TRIAL_END,36431.0519695282,,,,,,
TRIALID,36433.051347732544,,,,,,
!E TRIAL_EVENT_VAR fixation,36438.05646896362,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,37448.02474975586,,,,,,
,,red,X,True,True,1.0,4
TRIAL_END,38452.05616950989,,,,,,
TRIALID,38454.052448272705,,,,,,
!E TRIAL_EVENT_VAR fixation,38460.05296707153,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,39468.053579330444,,,,,,
,,red,Y,True,True,1.0,5
TRIAL_END,40472.05638885498,,,,,,
TRIALID,40475.06070137024,,,,,,
!E TRIAL_EVENT_VAR fixation,40480.053663253784,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,41489.05682563782,,,,,,
,,red,Y,True,True,1.0,6
TRIAL_END,42494.0242767334,,,,,,
TRIALID,42496.02460861206,,,,,,
!E TRIAL_EVENT_VAR fixation,42502.02512741089,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,43510.056018829346,,,,,,
,,blue,X,True,True,1.0,7
TRIAL_END,44515.05637168884,,,,,,
TRIALID,44517.05837249756,,,,,,
!E TRIAL_EVENT_VAR fixation,44522.056579589844,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,45532.03105926514,,,,,,
,,blue,Y,True,True,1.0,8
TRIAL_END,46537.05930709839,,,,,,
TRIALID,46539.05749320984,,,,,,
!E TRIAL_EVENT_VAR fixation,46544.06023025513,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,47554.06045913696,,,,,,
,,blue,X,True,True,1.0,9
TRIAL_END,48559.05842781067,,,,,,
TRIALID,48561.05828285217,,,,,,
!E TRIAL_EVENT_VAR fixation,48567.05975532532,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,49575.05965232849,,,,,,
,,blue,Y,True,True,1.0,10
TRIAL_END,50580.03282546997,,,,,,
TRIALID,50582.05986022949,,,,,,
!E TRIAL_EVENT_VAR fixation,50587.06021308899,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,51595.0608253479,,,,,,
,,blue,X,True,True,1.0,11
TRIAL_END,52601.06134414673,,,,,,
TRIALID,52603.06119918823,,,,,,
!E TRIAL_EVENT_VAR fixation,52608.06155204773,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,53617.06209182739,,,,,,
,,blue,Y,True,True,1.0,12
TRIAL_END,54621.06251716614,,,,,,
TRIALID,54624.06301498413,,,,,,
!E TRIAL_EVENT_VAR fixation,54629.06789779663,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,55638.08298110962,,,,,,
,,blue,X,True,True,1.0,13
TRIAL_END,56643.06735992432,,,,,,
