Event,RecordingTimestamp,border color,figure,is_color_change,is_figure_change,session_num,trial_id
TRIALID,32883.08334350586,,,,,,
!E TRIAL_EVENT_VAR fixation,32888.11230659485,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,33901.084423065186,,,,,,
,,red,Y,0.0,0.0,1.0,1
TRIAL_END,34906.089305877686,,,,,,
TRIALID,34910.08925437927,,,,,,
!E TRIAL_EVENT_VAR fixation,34916.0897731781,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,35925.092458724976,,,,,,
,,blue,Y,0.0,1.0,1.0,2
TRIAL_END,36931.095123291016,,,,,,
TRIALID,36934.09585952759,,,,,,
!E TRIAL_EVENT_VAR fixation,36940.09566307068,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,37949.09954071045,,,,,,
,,blue,Y,0.0,1.0,1.0,3
TRIAL_END,38956.10237121582,,,,,,
TRIALID,38959.10382270813,,,,,,
!E TRIAL_EVENT_VAR fixation,38965.10195732117,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,39974.13611412048,,,,,,
,,red,X,1.0,1.0,1.0,4
TRIAL_END,40982.14054107666,,,,,,
